Epoch: 145, PSNR: 30.6004, best_epoch: 125, Best_PSNR: 32.0750
Epoch: 150, PSNR: 32.0339, best_epoch: 125, Best_PSNR: 32.0750
Epoch: 155, PSNR: 32.0657, best_epoch: 125, Best_PSNR: 32.0750
Epoch: 160, PSNR: 32.2397, best_epoch: 160, Best_PSNR: 32.2397
Epoch: 165, PSNR: 31.9851, best_epoch: 160, Best_PSNR: 32.2397
Epoch: 170, PSNR: 30.9700, best_epoch: 160, Best_PSNR: 32.2397
Epoch: 175, PSNR: 32.0448, best_epoch: 160, Best_PSNR: 32.2397
Epoch: 180, PSNR: 32.2892, best_epoch: 180, Best_PSNR: 32.2892
Epoch: 185, PSNR: 31.7873, best_epoch: 180, Best_PSNR: 32.2892
Epoch: 190, PSNR: 31.1881, best_epoch: 180, Best_PSNR: 32.2892
Epoch: 195, PSNR: 32.2388, best_epoch: 180, Best_PSNR: 32.2892
Epoch: 200, PSNR: 31.7053, best_epoch: 180, Best_PSNR: 32.2892
Epoch: 205, PSNR: 32.5822, best_epoch: 205, Best_PSNR: 32.5822
Epoch: 210, PSNR: 32.3477, best_epoch: 205, Best_PSNR: 32.5822
Epoch: 215, PSNR: 31.8591, best_epoch: 205, Best_PSNR: 32.5822
Epoch: 220, PSNR: 32.5161, best_epoch: 205, Best_PSNR: 32.5822
Epoch: 225, PSNR: 32.5201, best_epoch: 205, Best_PSNR: 32.5822
Epoch: 230, PSNR: 32.4949, best_epoch: 205, Best_PSNR: 32.5822
Epoch: 235, PSNR: 32.6275, best_epoch: 235, Best_PSNR: 32.6275
Epoch: 240, PSNR: 32.1176, best_epoch: 235, Best_PSNR: 32.6275
Epoch: 245, PSNR: 32.5002, best_epoch: 235, Best_PSNR: 32.6275
Epoch: 250, PSNR: 32.4828, best_epoch: 235, Best_PSNR: 32.6275
Epoch: 255, PSNR: 32.8680, best_epoch: 255, Best_PSNR: 32.8680
Epoch: 260, PSNR: 32.5486, best_epoch: 255, Best_PSNR: 32.8680
Epoch: 265, PSNR: 32.7934, best_epoch: 255, Best_PSNR: 32.8680
Epoch: 270, PSNR: 32.8527, best_epoch: 255, Best_PSNR: 32.8680
Epoch: 275, PSNR: 32.6630, best_epoch: 255, Best_PSNR: 32.8680
Epoch: 280, PSNR: 32.6430, best_epoch: 255, Best_PSNR: 32.8680
Epoch: 285, PSNR: 32.6336, best_epoch: 255, Best_PSNR: 32.8680
Epoch: 290, PSNR: 32.5714, best_epoch: 255, Best_PSNR: 32.8680
Epoch: 295, PSNR: 32.4821, best_epoch: 255, Best_PSNR: 32.8680
Epoch: 300, PSNR: 32.8491, best_epoch: 255, Best_PSNR: 32.8680
Epoch: 305, PSNR: 32.5560, best_epoch: 255, Best_PSNR: 32.8680
Epoch: 310, PSNR: 32.6471, best_epoch: 255, Best_PSNR: 32.8680
Epoch: 315, PSNR: 32.7445, best_epoch: 255, Best_PSNR: 32.8680
Epoch: 320, PSNR: 32.7307, best_epoch: 255, Best_PSNR: 32.8680
Epoch: 325, PSNR: 32.7718, best_epoch: 255, Best_PSNR: 32.8680
Epoch: 330, PSNR: 32.6536, best_epoch: 255, Best_PSNR: 32.8680
Epoch: 335, PSNR: 32.9456, best_epoch: 335, Best_PSNR: 32.9456
Epoch: 340, PSNR: 32.9022, best_epoch: 335, Best_PSNR: 32.9456
Epoch: 345, PSNR: 32.6699, best_epoch: 335, Best_PSNR: 32.9456
Epoch: 350, PSNR: 32.8313, best_epoch: 335, Best_PSNR: 32.9456
Epoch: 355, PSNR: 32.9394, best_epoch: 335, Best_PSNR: 32.9456
Epoch: 360, PSNR: 32.6093, best_epoch: 335, Best_PSNR: 32.9456
Epoch: 365, PSNR: 32.8369, best_epoch: 335, Best_PSNR: 32.9456
Epoch: 370, PSNR: 32.9136, best_epoch: 335, Best_PSNR: 32.9456
